Airport,LatLong
K4A6,34.6887 -86.0059
KSLH,45.6536 -84.5192
KOMA,41.3119 -95.9018
KOMH,38.2472 -78.0456
KOMK,48.4612 -119.5209
KOMN,29.3009 -81.1110
KL38,30.1727 -90.9406
KMIB,48.4158 -101.3580
KMIA,25.7880 -80.3169
KJXI,32.6990 -94.9489
KMIE,40.2345 -85.3936
KVAY,39.9408 -74.8407
K1YT,46.6667 -120.4500
KL35,34.2638 -116.8560
KIDA,43.5208 -112.0661
KMIW,42.1106 -92.9161
KMIV,39.3662 -75.0778
KSLC,40.7707 -111.9650
KIDI,40.6322 -79.1055
KJGG,37.2416 -76.7167
K5W8,35.7040 -79.5040
KVNC,27.0716 -82.4403
KSLG,36.1919 -94.4900
K54J,30.7311 -86.1538
KALO,42.5544 -92.4013
KVNY,34.2156 -118.4917
KM46,45.8528 -106.7093
KM40,33.8738 -88.4897
KRBW,32.9210 -80.6406
KLOT,41.6031 -88.1016
KRBD,32.6809 -96.8682
KRBG,43.2337 -123.3577
KGFK,47.9492 -97.1761
KGFL,43.3384 -73.6102
KRBL,40.1519 -122.2548
KRBO,27.7780 -97.6878
KOJA,35.5448 -98.6685
K4O4,33.9133 -94.8546
KEVM,47.4274 -92.4972
KEVB,29.0569 -80.9491
KWJF,34.7412 -118.2125
KEVV,38.0431 -87.5203
KEVW,41.2731 -111.0306
KAEJ,38.8142 -106.1207
KI35,36.8593 -83.3585
K36U,40.4774 -111.4330
KI39,37.6308 -84.3323
KSEZ,34.8468 -111.7884
KLXY,31.6412 -96.5144
KNKT,34.8972 -76.8813
KCTZ,34.9752 -78.3628
KHHW,34.0314 -95.5398
KCTY,29.6334 -83.1054
KLXT,38.9597 -94.3714
KLXV,39.2281 -106.3161
KCTB,48.6084 -112.3761
KLXL,45.9509 -94.3441
KCTD,41.7297 -107.7252
KLXN,40.7911 -99.7772
KCTJ,33.6310 -85.1520
KNTU,36.8211 -76.0283
KHHF,35.8929 -100.4046
KFLO,34.1878 -79.7308
KAXN,45.8680 -95.3940
KFLL,26.0787 -80.1622
KAXH,29.5050 -95.4765
KFLG,35.1443 -111.6664
KFLD,43.7696 -88.4907
KAXA,43.0796 -94.2723
KFSE,47.5928 -95.7735
KAXX,36.4259 -105.2903
KDPL,34.9994 -77.9800
KFLY,38.9439 -104.5684
K5M9,37.3363 -88.1097
